pig_number	Group	day	pen	room	experiment	tissue	treatment	Sow	birth_room	DOB	Sex	initial_weight	Necropsy.day	Pen	set
X1P17N3AFD0	17	X1P17N3AFD0	0	3A	3	X1	Feces	oral	1210	5	1/27/2016	M	3.4	4	3A	D0_Feces_oral
X1P17N3AFD4	17	X1P17N3AFD4	4	3A	3	X1	Feces	oral	1210	5	1/27/2016	M	3.4	4	3A	D4_Feces_oral
X1P18N3ACD4	18	X1P18N3ACD4	4	3A	3	X1	Colon	oral	1213	5	1/29/2016	M	4.7	4	3A	D4_Colon_oral
X1P18N3AFD0	18	X1P18N3AFD0	0	3A	3	X1	Feces	oral	1213	5	1/29/2016	M	4.7	4	3A	D0_Feces_oral
X1P18N3AFD4	18	X1P18N3AFD4	4	3A	3	X1	Feces	oral	1213	5	1/29/2016	M	4.7	4	3A	D4_Feces_oral
X1P18N3AID4	18	X1P18N3AID4	4	3A	3	X1	Ileum	oral	1213	5	1/29/2016	M	4.7	4	3A	D4_Ileum_oral
X1P19N3BFD4	19	X1P19N3BFD4	4	3B	3	X1	Feces	oral	1208	1	1/29/2016	F	5	4	3B	D4_Feces_oral
X1P19N3BID4	19	X1P19N3BID4	4	3B	3	X1	Ileum	oral	1208	1	1/29/2016	F	5	4	3B	D4_Ileum_oral
X1P20N3BCD4	20	X1P20N3BCD4	4	3B	3	X1	Colon	oral	1211	2	1/30/2013	M	4.5	4	3B	D4_Colon_oral
X1P20N3BFD0	20	X1P20N3BFD0	0	3B	3	X1	Feces	oral	1211	2	1/30/2013	M	4.5	4	3B	D0_Feces_oral
X1P20N3BID4	20	X1P20N3BID4	4	3B	3	X1	Ileum	oral	1211	2	1/30/2013	M	4.5	4	3B	D4_Ileum_oral
X1P21N3BCD4	21	X1P21N3BCD4	4	3B	3	X1	Colon	oral	1207	2	1/28/2016	M	7.6	4	3B	D4_Colon_oral
X1P21N3BFD0	21	X1P21N3BFD0	0	3B	3	X1	Feces	oral	1207	2	1/28/2016	M	7.6	4	3B	D0_Feces_oral
X1P21N3BFD4	21	X1P21N3BFD4	4	3B	3	X1	Feces	oral	1207	2	1/28/2016	M	7.6	4	3B	D4_Feces_oral
X1P21N3BID4	21	X1P21N3BID4	4	3B	3	X1	Ileum	oral	1207	2	1/28/2016	M	7.6	4	3B	D4_Ileum_oral
X1P22N1ACD7	22	X1P22N1ACD7	7	1A	1	X1	Colon	control	1212	3	1/31/2016	M	5.6	7	1A	D7_Colon_control
X1P22N1AFD0	22	X1P22N1AFD0	0	1A	1	X1	Feces	control	1212	3	1/31/2016	M	5.6	7	1A	D0_Feces_control
X1P22N1AFD4	22	X1P22N1AFD4	4	1A	1	X1	Feces	control	1212	3	1/31/2016	M	5.6	7	1A	D4_Feces_control
X1P22N1AFD7	22	X1P22N1AFD7	7	1A	1	X1	Feces	control	1212	3	1/31/2016	M	5.6	7	1A	D7_Feces_control
X1P23N1ACD7	23	X1P23N1ACD7	7	1A	1	X1	Colon	control	1209	3	1/30/2016	F	7.1	7	1A	D7_Colon_control
X1P23N1AFD0	23	X1P23N1AFD0	0	1A	1	X1	Feces	control	1209	3	1/30/2016	F	7.1	7	1A	D0_Feces_control
X1P23N1AFD4	23	X1P23N1AFD4	4	1A	1	X1	Feces	control	1209	3	1/30/2016	F	7.1	7	1A	D4_Feces_control
X1P23N1AFD7	23	X1P23N1AFD7	7	1A	1	X1	Feces	control	1209	3	1/30/2016	F	7.1	7	1A	D7_Feces_control
X1P23N1AID7	23	X1P23N1AID7	7	1A	1	X1	Ileum	control	1209	3	1/30/2016	F	7.1	7	1A	D7_Ileum_control
X1P24N1ACD7	24	X1P24N1ACD7	7	1A	1	X1	Colon	control	1215	4	1/27/2016	M	6.6	7	1A	D7_Colon_control
X1P24N1AFD0	24	X1P24N1AFD0	0	1A	1	X1	Feces	control	1215	4	1/27/2016	M	6.6	7	1A	D0_Feces_control
X1P24N1AFD4	24	X1P24N1AFD4	4	1A	1	X1	Feces	control	1215	4	1/27/2016	M	6.6	7	1A	D4_Feces_control
X1P24N1AFD7	24	X1P24N1AFD7	7	1A	1	X1	Feces	control	1215	4	1/27/2016	M	6.6	7	1A	D7_Feces_control
X1P24N1AID7	24	X1P24N1AID7	7	1A	1	X1	Ileum	control	1215	4	1/27/2016	M	6.6	7	1A	D7_Ileum_control
X1P25N1BCD7	25	X1P25N1BCD7	7	1B	1	X1	Colon	control	1214	4	1/30/2016	M	5.3	7	1B	D7_Colon_control
X1P25N1BFD0	25	X1P25N1BFD0	0	1B	1	X1	Feces	control	1214	4	1/30/2016	M	5.3	7	1B	D0_Feces_control
X1P25N1BFD4	25	X1P25N1BFD4	4	1B	1	X1	Feces	control	1214	4	1/30/2016	M	5.3	7	1B	D4_Feces_control
X1P25N1BFD7	25	X1P25N1BFD7	7	1B	1	X1	Feces	control	1214	4	1/30/2016	M	5.3	7	1B	D7_Feces_control
X1P26N1BFD0	26	X1P26N1BFD0	0	1B	1	X1	Feces	control	1210	5	1/27/2016	F	4.6	7	1B	D0_Feces_control
X1P26N1BFD4	26	X1P26N1BFD4	4	1B	1	X1	Feces	control	1210	5	1/27/2016	F	4.6	7	1B	D4_Feces_control
X1P26N1BFD7	26	X1P26N1BFD7	7	1B	1	X1	Feces	control	1210	5	1/27/2016	F	4.6	7	1B	D7_Feces_control
X1P26N1BID7	26	X1P26N1BID7	7	1B	1	X1	Ileum	control	1210	5	1/27/2016	F	4.6	7	1B	D7_Ileum_control
X1P27N1BCD7	27	X1P27N1BCD7	7	1B	1	X1	Colon	control	1213	5	1/29/2016	M	4.6	7	1B	D7_Colon_control
X1P27N1BFD4	27	X1P27N1BFD4	4	1B	1	X1	Feces	control	1213	5	1/29/2016	M	4.6	7	1B	D4_Feces_control
X1P27N1BFD7	27	X1P27N1BFD7	7	1B	1	X1	Feces	control	1213	5	1/29/2016	M	4.6	7	1B	D7_Feces_control
X1P27N1BID7	27	X1P27N1BID7	7	1B	1	X1	Ileum	control	1213	5	1/29/2016	M	4.6	7	1B	D7_Ileum_control
X1P28N1BCD7	28	X1P28N1BCD7	7	1B	1	X1	Colon	control	1211	2	1/30/2013	F	3.6	7	1B	D7_Colon_control
X1P28N1BFD0	28	X1P28N1BFD0	0	1B	1	X1	Feces	control	1211	2	1/30/2013	F	3.6	7	1B	D0_Feces_control
X1P28N1BFD4	28	X1P28N1BFD4	4	1B	1	X1	Feces	control	1211	2	1/30/2013	F	3.6	7	1B	D4_Feces_control
X1P28N1BFD7	28	X1P28N1BFD7	7	1B	1	X1	Feces	control	1211	2	1/30/2013	F	3.6	7	1B	D7_Feces_control
X1P28N1BID7	28	X1P28N1BID7	7	1B	1	X1	Ileum	control	1211	2	1/30/2013	F	3.6	7	1B	D7_Ileum_control
X1P29N2ACD7	29	X1P29N2ACD7	7	2A	2	X1	Colon	inject	1212	3	1/31/2016	F	5.6	7	2A	D7_Colon_inject
X1P29N2AFD0	29	X1P29N2AFD0	0	2A	2	X1	Feces	inject	1212	3	1/31/2016	F	5.6	7	2A	D0_Feces_inject
X1P29N2AFD4	29	X1P29N2AFD4	4	2A	2	X1	Feces	inject	1212	3	1/31/2016	F	5.6	7	2A	D4_Feces_inject
X1P29N2AFD7	29	X1P29N2AFD7	7	2A	2	X1	Feces	inject	1212	3	1/31/2016	F	5.6	7	2A	D7_Feces_inject
X1P30N2ACD7	30	X1P30N2ACD7	7	2A	2	X1	Colon	inject	1214	4	1/30/2016	M	4.6	7	2A	D7_Colon_inject
X1P30N2AFD0	30	X1P30N2AFD0	0	2A	2	X1	Feces	inject	1214	4	1/30/2016	M	4.6	7	2A	D0_Feces_inject
X1P30N2AFD4	30	X1P30N2AFD4	4	2A	2	X1	Feces	inject	1214	4	1/30/2016	M	4.6	7	2A	D4_Feces_inject
X1P30N2AFD7	30	X1P30N2AFD7	7	2A	2	X1	Feces	inject	1214	4	1/30/2016	M	4.6	7	2A	D7_Feces_inject
X1P31N2ACD7	31	X1P31N2ACD7	7	2A	2	X1	Colon	inject	1210	5	1/27/2016	F	3.3	7	2A	D7_Colon_inject
X1P31N2AFD0	31	X1P31N2AFD0	0	2A	2	X1	Feces	inject	1210	5	1/27/2016	F	3.3	7	2A	D0_Feces_inject
X1P31N2AFD4	31	X1P31N2AFD4	4	2A	2	X1	Feces	inject	1210	5	1/27/2016	F	3.3	7	2A	D4_Feces_inject
X1P31N2AFD7	31	X1P31N2AFD7	7	2A	2	X1	Feces	inject	1210	5	1/27/2016	F	3.3	7	2A	D7_Feces_inject
X1P32N2BCD7	32	X1P32N2BCD7	7	2B	2	X1	Colon	inject	1213	5	1/29/2016	F	5	7	2B	D7_Colon_inject
X1P32N2BFD0	32	X1P32N2BFD0	0	2B	2	X1	Feces	inject	1213	5	1/29/2016	F	5	7	2B	D0_Feces_inject
X1P32N2BFD4	32	X1P32N2BFD4	4	2B	2	X1	Feces	inject	1213	5	1/29/2016	F	5	7	2B	D4_Feces_inject
X1P32N2BFD7	32	X1P32N2BFD7	7	2B	2	X1	Feces	inject	1213	5	1/29/2016	F	5	7	2B	D7_Feces_inject
X1P33N2BCD7	33	X1P33N2BCD7	7	2B	2	X1	Colon	inject	1208	1	1/29/2016	F	6.7	7	2B	D7_Colon_inject
X1P33N2BFD0	33	X1P33N2BFD0	0	2B	2	X1	Feces	inject	1208	1	1/29/2016	F	6.7	7	2B	D0_Feces_inject
X1P33N2BFD4	33	X1P33N2BFD4	4	2B	2	X1	Feces	inject	1208	1	1/29/2016	F	6.7	7	2B	D4_Feces_inject
X1P33N2BFD7	33	X1P33N2BFD7	7	2B	2	X1	Feces	inject	1208	1	1/29/2016	F	6.7	7	2B	D7_Feces_inject
X1P34N2BCD7	34	X1P34N2BCD7	7	2B	2	X1	Colon	inject	1207	2	1/28/2016	M	7.5	7	2B	D7_Colon_inject
X1P34N2BFD0	34	X1P34N2BFD0	0	2B	2	X1	Feces	inject	1207	2	1/28/2016	M	7.5	7	2B	D0_Feces_inject
X1P34N2BFD4	34	X1P34N2BFD4	4	2B	2	X1	Feces	inject	1207	2	1/28/2016	M	7.5	7	2B	D4_Feces_inject
X1P34N2BFD7	34	X1P34N2BFD7	7	2B	2	X1	Feces	inject	1207	2	1/28/2016	M	7.5	7	2B	D7_Feces_inject
X1P35N2BCD7	35	X1P35N2BCD7	7	2B	2	X1	Colon	inject	1209	3	1/30/2016	F	6.5	7	2B	D7_Colon_inject
X1P35N2BFD4	35	X1P35N2BFD4	4	2B	2	X1	Feces	inject	1209	3	1/30/2016	F	6.5	7	2B	D4_Feces_inject
X1P35N2BFD7	35	X1P35N2BFD7	7	2B	2	X1	Feces	inject	1209	3	1/30/2016	F	6.5	7	2B	D7_Feces_inject
X1P36N3ACD7	36	X1P36N3ACD7	7	3A	3	X1	Colon	oral	1215	4	1/27/2016	M	6.2	7	3A	D7_Colon_oral
X1P36N3AFD0	36	X1P36N3AFD0	0	3A	3	X1	Feces	oral	1215	4	1/27/2016	M	6.2	7	3A	D0_Feces_oral
X1P36N3AFD4	36	X1P36N3AFD4	4	3A	3	X1	Feces	oral	1215	4	1/27/2016	M	6.2	7	3A	D4_Feces_oral
X1P36N3AFD7	36	X1P36N3AFD7	7	3A	3	X1	Feces	oral	1215	4	1/27/2016	M	6.2	7	3A	D7_Feces_oral
X1P36N3AID7	36	X1P36N3AID7	7	3A	3	X1	Ileum	oral	1215	4	1/27/2016	M	6.2	7	3A	D7_Ileum_oral
X1P37N3ACD7	37	X1P37N3ACD7	7	3A	3	X1	Colon	oral	1208	1	1/29/2016	M	6.8	7	3A	D7_Colon_oral
X1P37N3AFD0	37	X1P37N3AFD0	0	3A	3	X1	Feces	oral	1208	1	1/29/2016	M	6.8	7	3A	D0_Feces_oral
X1P37N3AFD4	37	X1P37N3AFD4	4	3A	3	X1	Feces	oral	1208	1	1/29/2016	M	6.8	7	3A	D4_Feces_oral
X1P37N3AFD7	37	X1P37N3AFD7	7	3A	3	X1	Feces	oral	1208	1	1/29/2016	M	6.8	7	3A	D7_Feces_oral
X1P37N3AID7	37	X1P37N3AID7	7	3A	3	X1	Ileum	oral	1208	1	1/29/2016	M	6.8	7	3A	D7_Ileum_oral
X1P38N3ACD7	38	X1P38N3ACD7	7	3A	3	X1	Colon	oral	1211	2	1/30/2013	M	4.9	7	3A	D7_Colon_oral
X1P38N3AFD0	38	X1P38N3AFD0	0	3A	3	X1	Feces	oral	1211	2	1/30/2013	M	4.9	7	3A	D0_Feces_oral
X1P38N3AFD4	38	X1P38N3AFD4	4	3A	3	X1	Feces	oral	1211	2	1/30/2013	M	4.9	7	3A	D4_Feces_oral
X1P38N3AFD7	38	X1P38N3AFD7	7	3A	3	X1	Feces	oral	1211	2	1/30/2013	M	4.9	7	3A	D7_Feces_oral
X1P39N3BCD7	39	X1P39N3BCD7	7	3B	3	X1	Colon	oral	1207	2	1/28/2016	M	6	7	3B	D7_Colon_oral
X1P39N3BFD0	39	X1P39N3BFD0	0	3B	3	X1	Feces	oral	1207	2	1/28/2016	M	6	7	3B	D0_Feces_oral
X1P39N3BFD4	39	X1P39N3BFD4	4	3B	3	X1	Feces	oral	1207	2	1/28/2016	M	6	7	3B	D4_Feces_oral
X1P39N3BFD7	39	X1P39N3BFD7	7	3B	3	X1	Feces	oral	1207	2	1/28/2016	M	6	7	3B	D7_Feces_oral
X1P40N3BCD7	40	X1P40N3BCD7	7	3B	3	X1	Colon	oral	1212	3	1/31/2016	M	4.3	7	3B	D7_Colon_oral
X1P40N3BFD0	40	X1P40N3BFD0	0	3B	3	X1	Feces	oral	1212	3	1/31/2016	M	4.3	7	3B	D0_Feces_oral
X1P40N3BFD4	40	X1P40N3BFD4	4	3B	3	X1	Feces	oral	1212	3	1/31/2016	M	4.3	7	3B	D4_Feces_oral
X1P40N3BFD7	40	X1P40N3BFD7	7	3B	3	X1	Feces	oral	1212	3	1/31/2016	M	4.3	7	3B	D7_Feces_oral
X1P40N3BID7	40	X1P40N3BID7	7	3B	3	X1	Ileum	oral	1212	3	1/31/2016	M	4.3	7	3B	D7_Ileum_oral
X1P41N3BCD7	41	X1P41N3BCD7	7	3B	3	X1	Colon	oral	1214	4	1/30/2016	M	4.4	7	3B	D7_Colon_oral
X1P41N3BFD0	41	X1P41N3BFD0	0	3B	3	X1	Feces	oral	1214	4	1/30/2016	M	4.4	7	3B	D0_Feces_oral
X1P41N3BFD4	41	X1P41N3BFD4	4	3B	3	X1	Feces	oral	1214	4	1/30/2016	M	4.4	7	3B	D4_Feces_oral
X1P41N3BFD7	41	X1P41N3BFD7	7	3B	3	X1	Feces	oral	1214	4	1/30/2016	M	4.4	7	3B	D7_Feces_oral
X1P41N3BID7	41	X1P41N3BID7	7	3B	3	X1	Ileum	oral	1214	4	1/30/2016	M	4.4	7	3B	D7_Ileum_oral
X1P42N3BCD7	42	X1P42N3BCD7	7	3B	3	X1	Colon	oral	1213	5	1/29/2016	F	5.7	7	3B	D7_Colon_oral
X1P42N3BFD0	42	X1P42N3BFD0	0	3B	3	X1	Feces	oral	1213	5	1/29/2016	F	5.7	7	3B	D0_Feces_oral
X1P42N3BFD4	42	X1P42N3BFD4	4	3B	3	X1	Feces	oral	1213	5	1/29/2016	F	5.7	7	3B	D4_Feces_oral
X1P42N3BFD7	42	X1P42N3BFD7	7	3B	3	X1	Feces	oral	1213	5	1/29/2016	F	5.7	7	3B	D7_Feces_oral
X1P43N1ACD14	43	X1P43N1ACD14	14	1A	1	X1	Colon	control	1206	1	1/31/2016	M	2.4	14	1A	D14_Colon_control
X1P43N1AFD11	43	X1P43N1AFD11	11	1A	1	X1	Feces	control	1206	1	1/31/2016	M	2.4	14	1A	D11_Feces_control
X1P43N1AFD14	43	X1P43N1AFD14	14	1A	1	X1	Feces	control	1206	1	1/31/2016	M	2.4	14	1A	D14_Feces_control
X1P43N1AFD4	43	X1P43N1AFD4	4	1A	1	X1	Feces	control	1206	1	1/31/2016	M	2.4	14	1A	D4_Feces_control
X1P43N1AFD7	43	X1P43N1AFD7	7	1A	1	X1	Feces	control	1206	1	1/31/2016	M	2.4	14	1A	D7_Feces_control
X1P43N1AID14	43	X1P43N1AID14	14	1A	1	X1	Ileum	control	1206	1	1/31/2016	M	2.4	14	1A	D14_Ileum_control
X1P44N1ACD14	44	X1P44N1ACD14	14	1A	1	X1	Colon	control	1212	3	1/31/2016	F	4.5	14	1A	D14_Colon_control
X1P44N1AFD0	44	X1P44N1AFD0	0	1A	1	X1	Feces	control	1212	3	1/31/2016	F	4.5	14	1A	D0_Feces_control
X1P44N1AFD11	44	X1P44N1AFD11	11	1A	1	X1	Feces	control	1212	3	1/31/2016	F	4.5	14	1A	D11_Feces_control
X1P44N1AFD14	44	X1P44N1AFD14	14	1A	1	X1	Feces	control	1212	3	1/31/2016	F	4.5	14	1A	D14_Feces_control
X1P44N1AFD4	44	X1P44N1AFD4	4	1A	1	X1	Feces	control	1212	3	1/31/2016	F	4.5	14	1A	D4_Feces_control
X1P44N1AFD7	44	X1P44N1AFD7	7	1A	1	X1	Feces	control	1212	3	1/31/2016	F	4.5	14	1A	D7_Feces_control
X1P44N1AID14	44	X1P44N1AID14	14	1A	1	X1	Ileum	control	1212	3	1/31/2016	F	4.5	14	1A	D14_Ileum_control
X1P45N1ACD14	45	X1P45N1ACD14	14	1A	1	X1	Colon	control	1209	3	1/30/2016	M	7.8	14	1A	D14_Colon_control
X1P45N1AFD0	45	X1P45N1AFD0	0	1A	1	X1	Feces	control	1209	3	1/30/2016	M	7.8	14	1A	D0_Feces_control
X1P45N1AFD11	45	X1P45N1AFD11	11	1A	1	X1	Feces	control	1209	3	1/30/2016	M	7.8	14	1A	D11_Feces_control
X1P45N1AFD14	45	X1P45N1AFD14	14	1A	1	X1	Feces	control	1209	3	1/30/2016	M	7.8	14	1A	D14_Feces_control
X1P45N1AFD4	45	X1P45N1AFD4	4	1A	1	X1	Feces	control	1209	3	1/30/2016	M	7.8	14	1A	D4_Feces_control
X1P45N1AFD7	45	X1P45N1AFD7	7	1A	1	X1	Feces	control	1209	3	1/30/2016	M	7.8	14	1A	D7_Feces_control
X1P45N1AID14	45	X1P45N1AID14	14	1A	1	X1	Ileum	control	1209	3	1/30/2016	M	7.8	14	1A	D14_Ileum_control
X1P46N1ACD14	46	X1P46N1ACD14	14	1A	1	X1	Colon	control	1215	4	1/27/2016	M	6.9	14	1A	D14_Colon_control
X1P46N1AFD0	46	X1P46N1AFD0	0	1A	1	X1	Feces	control	1215	4	1/27/2016	M	6.9	14	1A	D0_Feces_control
X1P46N1AFD11	46	X1P46N1AFD11	11	1A	1	X1	Feces	control	1215	4	1/27/2016	M	6.9	14	1A	D11_Feces_control
X1P46N1AFD14	46	X1P46N1AFD14	14	1A	1	X1	Feces	control	1215	4	1/27/2016	M	6.9	14	1A	D14_Feces_control
